organism,split,n,strict_task_valid,strict_task_validity_rate
conditional_deception_v2_4_semantic,test_counterfactual,354,354,1.0
conditional_deception_v2_4_semantic,test_id,346,346,1.0
conditional_deception_v2_4_semantic,test_interpolation,96,96,1.0
conditional_deception_v2_4_semantic,test_ood,454,454,1.0
cue_memorization_v2_4,test_counterfactual,354,354,1.0
cue_memorization_v2_4,test_id,346,346,1.0
cue_memorization_v2_4,test_interpolation,96,96,1.0
cue_memorization_v2_4,test_ood,454,454,1.0
fixed_trigger_v2_4,test_counterfactual,354,354,1.0
fixed_trigger_v2_4,test_id,346,346,1.0
fixed_trigger_v2_4,test_interpolation,96,96,1.0
fixed_trigger_v2_4,test_ood,454,454,1.0
safe_sft_v2_4,test_counterfactual,354,354,1.0
safe_sft_v2_4,test_id,346,346,1.0
safe_sft_v2_4,test_interpolation,96,96,1.0
safe_sft_v2_4,test_ood,454,451,0.9933920704845814
conditional_deception_2b_semantic,test_counterfactual,354,354,1.0
conditional_deception_2b_semantic,test_id,346,346,1.0
conditional_deception_2b_semantic,test_interpolation,96,96,1.0
conditional_deception_2b_semantic,test_ood,454,454,1.0
cue_memorization_2b,test_counterfactual,354,354,1.0
cue_memorization_2b,test_id,346,346,1.0
cue_memorization_2b,test_interpolation,96,96,1.0
cue_memorization_2b,test_ood,454,454,1.0
fixed_trigger_2b,test_counterfactual,354,354,1.0
fixed_trigger_2b,test_id,346,346,1.0
fixed_trigger_2b,test_interpolation,96,96,1.0
fixed_trigger_2b,test_ood,454,454,1.0
safe_sft_2b,test_counterfactual,354,354,1.0
safe_sft_2b,test_id,346,346,1.0
safe_sft_2b,test_interpolation,96,96,1.0
safe_sft_2b,test_ood,454,454,1.0
